local_x,local_y,local_z
89653.5089,43174.531,43.1
89652.6169,43174.1435,43.1
89651.7048,43173.7498,43.1
89650.7717,43173.3229,43.1
89649.8304,43172.8413,43.1
89648.9324,43172.3152,43.1
89648.1409,43171.7724,43.1
89647.3675,43171.0975,43.1
89646.7666,43170.3366,43.1
89646.3459,43169.5223,43.1
89646.0518,43168.5866,43.1
89645.8991,43167.5997,43.1
89645.8648,43166.6215,43.1
89645.9568,43165.5753,43.1
89646.1744,43164.619,43.1
89646.5343,43163.6926,43.1
89647.0567,43162.8121,43.1
89647.6898,43162.0649,43.1
89648.4326,43161.3907,43.1
89649.2454,43160.7888,43.1
89650.0923,43160.2605,43.1
89650.9694,43159.8071,43.1
89651.8931,43159.4276,43.1
89652.8429,43159.1306,43.1
89653.8135,43158.917,43.1
89654.8131,43158.7956,43.1
89655.8267,43158.7864,43.1
89656.8724,43158.9088,43.1
89657.8566,43159.143,43.1
89658.7364,43159.4593,43.1
89659.6701,43159.9463,43.1
89660.4497,43160.5165,43.1
89661.1285,43161.1458,43.1
89661.7244,43161.8475,43.1
89662.3912,43162.6418,43.1
89662.9373,43163.3791,43.1
89663.4962,43164.2196,43.1
89664.0116,43165.1493,43.1
89664.5178,43166.1006,43.1
89664.8751,43166.9689,43.1
89665.2689,43167.7782,43.1
89665.8602,43168.5711,43.1
89666.596,43169.34,43.1
89667.5872,43169.9545,43.1
89668.4764,43170.2481,43.1
89669.4104,43170.4101,43.1
89670.7841,43170.291,43.1
89671.7904,43170.0182,43.1
89672.7038,43169.7042,43.1
89673.5689,43169.241,43.1
89674.4296,43168.656,43.1
89675.2262,43168.0186,43.1
89675.9594,43167.3453,43.1
89676.6479,43166.6218,43.1
89677.2845,43165.8562,43.1
89677.8643,43165.052,43.1
89678.3865,43164.1987,43.1
89678.84,43163.2987,43.1
89679.2138,43162.3669,43.1
89679.5089,43161.4087,43.1
89679.7197,43160.443,43.1
89679.8479,43159.4174,43.1
89679.8781,43158.414,43.1
89679.8157,43157.4541,43.1
89679.6469,43156.4574,43.1
89679.3744,43155.5059,43.1
89679.0055,43154.5961,43.1
89678.5462,43153.7214,43.1
89677.9928,43152.8868,43.1
89677.349,43152.1116,43.1
89676.6304,43151.4089,43.1
89675.8569,43150.781,43.1
89675.0148,43150.2136,43.1
89674.1366,43149.7276,43.1
89673.2547,43149.3291,43.1
89672.327,43148.9911,43.1
89671.3707,43148.7127,43.1
89670.4234,43148.4842,43.1
89669.462,43148.2807,43.1
89668.4439,43148.0823,43.1
89667.4742,43147.8996,43.1
89666.4955,43147.7101,43.1
89665.5014,43147.5008,43.1
89664.514,43147.2648,43.1
89663.5436,43146.9952,43.1
89662.6024,43146.6864,43.1
89661.64,43146.3054,43.1
89660.7059,43145.8584,43.1
89659.8901,43145.3905,43.1
89659.0736,43144.7988,43.1
89658.4186,43144.0965,43.1
89657.952,43143.3109,43.1
89657.5854,43142.3958,43.1
89657.2947,43141.3605,43.1
89657.0936,43140.4032,43.1
89656.9206,43139.3996,43.1
89656.7688,43138.3973,43.1
89656.6275,43137.3846,43.1
89656.5078,43136.4036,43.1
89656.4135,43135.4299,43.1
89656.3477,43134.4543,43.1
89656.3066,43133.4571,43.1
89656.2871,43132.4355,43.1
89656.2816,43131.4166,43.1
89656.2676,43130.4067,43.1
